# qualifier, keyCode, keyCodeAsText, currentTimeOfEvent, numOfEventsSinceStart, deltaSinceLastEvent
# new logging sessions start with !
! Starting new logging session. Time: 2018/07/05 10:33:10
k 21 Y 1.531038805387E12 291 207.0
k 21 Y 1.531038805888E12 292 501.0
k 21 Y 1.531038805921E12 293 33.0
k 21 Y 1.531038805954E12 294 33.0
k 21 Y 1.531038805987E12 295 33.0
k 21 Y 1.53103880602E12 296 33.0
k 21 Y 1.531038806053E12 297 33.0
k 21 Y 1.531038806086E12 298 33.0
k 21 Y 1.531038806118E12 299 32.0
k 21 Y 1.531038806152E12 300 34.0
k 21 Y 1.531038806253E12 301 101.0
k 21 Y 1.531038806457E12 302 204.0
k 21 Y 1.531038806663E12 303 206.0
k 21 Y 1.531038806883E12 304 220.0
k 21 Y 1.531038807094E12 305 211.0
k 21 Y 1.531038807333E12 306 239.0
k 21 Y 1.531038807589E12 307 256.0
k 21 Y 1.531038807896E12 308 307.0
k 45 X 1.531038900061E12 309 92165.0
k 45 X 1.531038900237E12 310 176.0
k 45 X 1.531038900404E12 311 167.0
k 45 X 1.531038900568E12 312 164.0
k 45 X 1.53103890074E12 313 172.0
k 45 X 1.531038900883E12 314 143.0
k 45 X 1.531038901047E12 315 164.0
k 45 X 1.531038901218E12 316 171.0
k 45 X 1.531038901386E12 317 168.0
k 45 X 1.53103890184E12 318 454.0
k 45 X 1.531038902E12 319 160.0
k 45 X 1.531038902203E12 320 203.0
k 45 X 1.531038902403E12 321 200.0
k 45 X 1.531038902614E12 322 211.0
k 45 X 1.53103890281E12 323 196.0
k 21 Y 1.531038903024E12 324 214.0
k 21 Y 1.531038903228E12 325 204.0
k 21 Y 1.531038903411E12 326 183.0
k 21 Y 1.53103890375E12 327 339.0
k 21 Y 1.531038903945E12 328 195.0
k 21 Y 1.531038904125E12 329 180.0
k 21 Y 1.53103890432E12 330 195.0
k 21 Y 1.531038904515E12 331 195.0
k 21 Y 1.531038904914E12 332 399.0
k 21 Y 1.53103890511E12 333 196.0
k 21 Y 1.531038905309E12 334 199.0
k 21 Y 1.531038905504E12 335 195.0
k 21 Y 1.531038905712E12 336 208.0
k 21 Y 1.531038905915E12 337 203.0
k 21 Y 1.531038906115E12 338 200.0
k 21 Y 1.531038906314E12 339 199.0
k 21 Y 1.531038906521E12 340 207.0
k 45 X 1.531039024685E12 341 118164.0
k 45 X 1.531039024859E12 342 174.0
k 45 X 1.531039025032E12 343 173.0
k 45 X 1.531039025214E12 344 182.0
k 45 X 1.531039025391E12 345 177.0
k 45 X 1.531039025569E12 346 178.0
k 45 X 1.531039025761E12 347 192.0
k 45 X 1.531039025936E12 348 175.0
k 45 X 1.531039026108E12 349 172.0
k 45 X 1.531039026275E12 350 167.0
k 45 X 1.531039026462E12 351 187.0
k 45 X 1.531039026659E12 352 197.0
k 45 X 1.531039026841E12 353 182.0
k 45 X 1.531039027021E12 354 180.0
k 45 X 1.531039027217E12 355 196.0
k 45 X 1.531039027396E12 356 179.0
k 45 X 1.531039027588E12 357 192.0
k 21 Y 1.531039027934E12 358 346.0
k 21 Y 1.531039028158E12 359 224.0
k 21 Y 1.531039028356E12 360 198.0
k 21 Y 1.531039028544E12 361 188.0
k 21 Y 1.531039028732E12 362 188.0
k 21 Y 1.531039028914E12 363 182.0
k 21 Y 1.531039029099E12 364 185.0
k 21 Y 1.531039029273E12 365 174.0
k 21 Y 1.531039029478E12 366 205.0
k 21 Y 1.531039029664E12 367 186.0
k 21 Y 1.531039029852E12 368 188.0
k 21 Y 1.531039030039E12 369 187.0
k 21 Y 1.531039030239E12 370 200.0
k 21 Y 1.531039030422E12 371 183.0
k 21 Y 1.53103903061E12 372 188.0
k 21 Y 1.531039030817E12 373 207.0
